PermutationIndex,Permutation,MatterQubits
75072,"[7,6,1,8,3,9,2,12,10,11,4,5,13]",4
205553,"[2,7,6,8,4,9,5,12,11,10,3,1,13]",4
264559,"[2,7,4,8,1,9,3,11,10,12,6,5,13]",4
472876,"[7,6,4,8,1,9,2,11,12,13,5,3,10]",4
520382,"[1,7,6,8,5,9,2,13,11,10,4,3,12]",4
1386704,"[7,6,2,8,1,9,3,12,13,10,4,5,11]",4
1959234,"[7,5,4,8,1,9,3,13,11,10,6,2,12]",4
2109356,"[3,7,6,8,1,9,2,10,13,11,4,5,12]",4
2344411,"[7,6,3,8,4,9,5,11,13,12,2,1,10]",4
2399167,"[5,7,1,8,6,9,3,13,11,12,2,4,10]",4
2700924,"[6,7,1,8,3,9,5,12,13,11,2,4,10]",4
2865527,"[1,7,2,8,3,9,4,13,12,10,6,5,11]",4
3192069,"[6,7,4,8,5,9,2,12,11,10,1,3,13]",4
3388780,"[7,6,3,8,4,9,5,13,12,11,1,2,10]",4
3691031,"[1,7,6,8,2,9,3,12,10,11,4,5,13]",4
3761862,"[7,4,3,8,2,9,1,11,13,12,6,5,10]",4
3950465,"[5,7,6,8,3,9,4,13,12,11,1,2,10]",4
4485590,"[7,3,1,8,2,9,4,12,11,13,6,5,10]",4
45208015,"[2,7,1,8,6,9,4,13,10,11,5,3,12]",4
45385809,"[4,7,6,8,1,9,2,13,11,12,5,3,10]",4
45490755,"[2,7,4,8,6,9,1,13,12,11,5,3,10]",4
45498558,"[7,3,5,8,1,9,4,13,11,10,6,2,12]",4
45873209,"[3,7,4,8,6,9,5,12,13,11,2,1,10]",4
46233072,"[3,7,5,8,6,9,2,13,11,10,4,1,12]",4
46317258,"[1,7,2,8,5,9,3,11,10,13,6,4,12]",4
46331845,"[7,4,3,8,1,9,5,11,12,10,6,2,13]",4
46482062,"[7,6,2,8,1,9,3,10,13,12,5,4,11]",4
46721595,"[5,7,3,8,6,9,4,10,13,12,1,2,11]",4
46754900,"[6,7,4,8,3,9,1,11,12,10,5,2,13]",4
47287542,"[6,7,3,8,5,9,1,11,12,10,4,2,13]",4
47333704,"[7,5,2,8,1,9,4,13,11,10,6,3,12]",4
47496054,"[7,6,5,8,3,9,4,11,13,10,1,2,12]",4
47821725,"[7,6,4,8,1,9,3,13,11,12,2,5,10]",4
47951475,"[5,7,6,8,3,9,1,11,12,10,2,4,13]",4
48212166,"[4,7,2,8,6,9,5,12,13,10,1,3,11]",4
48341105,"[6,7,2,8,5,9,1,10,12,11,4,3,13]",4
49552042,"[3,7,1,8,6,9,2,10,13,12,5,4,11]",4
495313228,"[1,7,6,8,4,9,3,12,13,11,5,2,10]",4
495550594,"[7,4,5,8,3,9,1,10,12,13,6,2,11]",4
495980657,"[7,6,4,8,2,9,1,13,10,12,5,3,11]",4
496397971,"[7,6,3,8,4,9,1,11,12,13,2,5,10]",4
496878884,"[1,7,4,8,6,9,5,12,11,10,3,2,13]",4
497050831,"[1,7,6,8,4,9,2,11,10,13,5,3,12]",4
497372527,"[4,7,5,8,2,9,1,10,11,12,6,3,13]",4
497441911,"[7,1,5,8,2,9,3,11,12,10,6,4,13]",4
497685038,"[3,7,1,8,6,9,4,10,12,11,5,2,13]",4
499258160,"[7,6,5,8,3,9,2,10,12,13,1,4,11]",4
499475081,"[6,7,2,8,5,9,1,13,11,12,4,3,10]",4
500073148,"[1,7,4,8,3,9,5,13,11,10,6,2,12]",4
500083942,"[7,5,4,8,3,9,2,11,10,12,6,1,13]",4
500323819,"[5,7,1,8,6,9,2,10,11,13,3,4,12]",4
501320113,"[7,6,4,8,1,9,2,10,13,12,3,5,11]",4
501764709,"[7,6,3,8,2,9,5,10,13,12,4,1,11]",4
502202355,"[6,7,1,8,5,9,4,10,11,13,2,3,12]",4
502212789,"[7,5,3,8,1,9,4,12,11,13,6,2,10]",4
502303654,"[7,6,3,8,5,9,4,11,10,12,1,2,13]",4
502478340,"[1,7,3,8,6,9,4,11,12,13,5,2,10]",4
503425373,"[7,2,1,8,5,9,3,11,12,10,6,4,13]",4
503529117,"[4,7,5,8,3,9,2,10,11,12,6,1,13]",4
503664667,"[7,2,3,8,4,9,5,10,11,13,6,1,12]",4
503968003,"[2,7,5,8,6,9,3,12,10,13,1,4,11]",4
504297815,"[7,6,4,8,1,9,3,10,11,12,2,5,13]",4
504369823,"[2,7,5,8,3,9,4,11,12,10,6,1,13]",4
504440077,"[7,6,5,8,1,9,2,13,11,12,3,4,10]",4
504756442,"[7,5,3,8,2,9,4,11,10,12,6,1,13]",4
504887570,"[6,7,1,8,2,9,5,10,11,13,3,4,12]",4
510690484,"[5,7,2,8,6,9,3,13,12,11,1,4,10]",4
510705705,"[6,7,1,8,5,9,2,10,12,11,4,3,13]",4
511181338,"[3,7,5,8,1,9,2,11,10,13,6,4,12]",4
511373902,"[7,2,1,8,3,9,5,13,10,11,6,4,12]",4
512072848,"[3,7,1,8,5,9,4,13,11,10,6,2,12]",4
512808992,"[7,3,2,8,1,9,5,13,10,11,6,4,12]",4
513083758,"[2,7,6,8,3,9,4,10,11,13,5,1,12]",4
513665997,"[6,7,4,8,2,9,3,13,12,10,1,5,11]",4
514193288,"[1,7,6,8,5,9,2,12,11,13,4,3,10]",4
514275212,"[7,6,1,8,2,9,5,12,10,13,3,4,11]",4
514613370,"[7,1,3,8,4,9,5,10,12,13,6,2,11]",4
514922159,"[7,3,2,8,1,9,4,11,12,10,6,5,13]",4
516414552,"[7,6,2,8,3,9,5,12,13,10,1,4,11]",4
516636063,"[7,6,3,8,4,9,1,13,11,12,5,2,10]",4
516816690,"[7,4,2,8,5,9,3,13,12,11,6,1,10]",4
517076330,"[3,7,4,8,2,9,1,10,11,12,6,5,13]",4
519319892,"[7,1,5,8,3,9,4,11,13,12,6,2,10]",4
519499884,"[6,7,3,8,5,9,2,13,10,11,4,1,12]",4
519953741,"[5,7,4,8,6,9,1,13,11,10,3,2,12]",4
525203323,"[2,7,3,8,6,9,5,10,13,11,1,4,12]",4
525509462,"[5,7,6,8,4,9,2,10,13,12,1,3,11]",4
526352146,"[7,6,1,8,2,9,4,10,13,11,5,3,12]",4
526492326,"[7,3,2,8,4,9,5,12,13,10,6,1,11]",4
526535168,"[1,7,2,8,6,9,3,11,13,10,4,5,12]",4
527018511,"[5,7,1,8,6,9,4,12,13,11,2,3,10]",4
527448772,"[6,7,4,8,2,9,3,13,11,12,5,1,10]",4
527829573,"[3,7,5,8,1,9,2,10,11,13,6,4,12]",4
527938764,"[1,7,6,8,3,9,5,12,10,11,4,2,13]",4
528134811,"[1,7,6,8,5,9,2,11,10,12,4,3,13]",4
528311035,"[6,7,4,8,1,9,5,12,10,11,2,3,13]",4
528680638,"[5,7,6,8,1,9,3,11,12,13,2,4,10]",4
529034156,"[7,6,3,8,4,9,2,13,11,10,5,1,12]",4
529121408,"[2,7,5,8,3,9,4,13,12,10,6,1,11]",4
529353599,"[3,7,4,8,6,9,5,10,12,11,2,1,13]",4
530390100,"[3,7,6,8,2,9,4,11,12,10,1,5,13]",4
531160267,"[3,7,4,8,6,9,5,13,10,12,1,2,11]",4
531565768,"[6,7,2,8,5,9,1,10,13,12,3,4,11]",4
532313214,"[6,7,2,8,4,9,3,13,11,10,5,1,12]",4
532486812,"[7,4,3,8,1,9,2,12,11,13,6,5,10]",4
532982150,"[4,7,6,8,2,9,1,13,11,10,5,3,12]",4
533049428,"[6,7,2,8,1,9,5,11,12,13,4,3,10]",4
533514046,"[7,6,2,8,3,9,5,12,13,11,4,1,10]",4
533528147,"[1,7,3,8,6,9,4,12,11,10,2,5,13]",4
533757675,"[6,7,2,8,1,9,5,13,12,10,4,3,11]",4
534209664,"[7,3,1,8,4,9,2,11,13,12,6,5,10]",4
534288624,"[1,7,6,8,3,9,5,10,13,11,4,2,12]",4
534325565,"[7,6,2,8,3,9,5,10,12,13,1,4,11]",4
534453337,"[7,1,5,8,4,9,2,11,13,10,6,3,12]",4
534580843,"[1,7,6,8,4,9,3,11,12,13,5,2,10]",4
534951197,"[5,7,3,8,6,9,1,10,12,13,4,2,11]",4
535253866,"[6,7,2,8,5,9,1,10,12,11,3,4,13]",4
535822517,"[4,7,6,8,5,9,1,13,10,12,2,3,11]",4
536246388,"[7,6,3,8,2,9,1,12,10,11,4,5,13]",4
536496753,"[6,7,1,8,4,9,5,13,10,12,2,3,11]",4
536521078,"[7,6,3,8,5,9,4,10,11,12,1,2,13]",4
