PermutationIndex,Permutation,MatterQubits
495201609,"[3,8,7,13,6,11,2,1,12,10,5,9,4]",4
495288321,"[2,8,7,12,5,10,6,3,11,13,4,9,1]",4
495369104,"[3,8,6,10,5,12,4,7,13,11,1,9,2]",4
495819372,"[2,7,6,11,4,12,3,8,13,10,1,9,5]",4
495866189,"[5,7,6,12,3,10,4,8,13,11,1,9,2]",4
495995337,"[2,8,7,10,5,11,3,4,12,13,6,9,1]",4
496113866,"[5,7,6,11,1,12,2,8,13,10,4,9,3]",4
496401975,"[1,6,4,10,7,12,3,8,11,13,2,9,5]",4
496412330,"[1,8,6,10,2,13,3,7,11,12,5,9,4]",4
496804070,"[1,8,7,10,2,11,4,6,12,13,5,9,3]",4
497190618,"[5,8,2,12,6,11,1,7,10,13,4,9,3]",4
497424143,"[4,7,6,11,3,10,2,8,13,12,5,9,1]",4
497436395,"[4,7,6,13,3,11,5,8,12,10,1,9,2]",4
497656427,"[3,8,6,13,4,10,2,7,11,12,5,9,1]",4
498007204,"[4,8,7,12,3,10,5,6,11,13,2,9,1]",4
498288798,"[3,8,7,13,2,11,5,4,12,10,6,9,1]",4
498474059,"[5,8,7,13,3,10,4,6,12,11,2,9,1]",4
498855397,"[4,1,6,13,7,10,3,8,12,11,5,9,2]",4
499541576,"[1,7,2,13,6,11,3,8,10,12,4,9,5]",4
499560631,"[4,8,7,11,2,10,3,6,12,13,5,9,1]",4
499875375,"[5,8,7,13,4,11,2,3,10,12,6,9,1]",4
499959896,"[5,1,6,10,7,13,2,8,12,11,4,9,3]",4
500073597,"[3,8,7,12,1,11,2,6,10,13,5,9,4]",4
500113854,"[2,6,4,13,7,11,1,8,10,12,3,9,5]",4
500169066,"[5,8,7,11,1,10,3,4,12,13,6,9,2]",4
500489940,"[5,8,2,12,6,10,1,7,13,11,4,9,3]",4
500568046,"[2,6,1,12,7,10,3,8,13,11,4,9,5]",4
500708598,"[2,8,7,11,6,12,5,1,10,13,3,9,4]",4
500744908,"[5,7,4,11,6,13,2,8,12,10,3,9,1]",4
501018506,"[1,8,7,13,5,10,6,2,11,12,4,9,3]",4
501194978,"[4,8,7,11,2,10,1,5,12,13,6,9,3]",4
501257447,"[5,8,7,13,4,10,3,6,12,11,2,9,1]",4
501573410,"[3,1,6,11,7,13,4,8,10,12,5,9,2]",4
501851725,"[4,8,6,10,3,12,5,7,13,11,2,9,1]",4
501969553,"[1,8,7,12,2,13,3,5,10,11,6,9,4]",4
502656091,"[1,6,2,12,7,10,3,8,11,13,5,9,4]",4
503382743,"[3,7,6,12,2,13,4,8,11,10,1,9,5]",4
503414173,"[2,8,6,12,1,11,4,7,13,10,5,9,3]",4
503492061,"[4,8,7,13,1,12,2,3,10,11,6,9,5]",4
503641624,"[4,8,7,12,3,13,1,6,10,11,5,9,2]",4
503646790,"[1,8,7,11,5,10,2,6,12,13,3,9,4]",4
503756929,"[5,8,7,10,3,12,1,2,13,11,6,9,4]",4
503815887,"[3,8,7,11,1,10,5,6,13,12,4,9,2]",4
503913675,"[4,8,6,12,5,13,2,7,10,11,1,9,3]",4
503984866,"[2,5,6,13,7,11,1,8,12,10,4,9,3]",4
504083471,"[4,7,1,12,6,11,2,8,13,10,3,9,5]",4
504259015,"[5,8,7,11,4,13,2,6,12,10,3,9,1]",4
504526908,"[3,8,7,10,4,11,6,5,13,12,2,9,1]",4
130039310,"[2,8,6,10,4,13,3,7,12,11,1,9,5]",4
130203691,"[2,8,4,10,6,12,1,7,13,11,3,9,5]",4
130205235,"[5,7,6,13,2,11,1,8,12,10,4,9,3]",4
130400374,"[3,7,6,10,4,13,5,8,12,11,2,9,1]",4
130918430,"[4,6,2,12,7,11,5,8,10,13,1,9,3]",4
130945880,"[2,8,7,12,1,13,6,5,10,11,4,9,3]",4
131015691,"[4,8,2,11,6,13,5,7,12,10,3,9,1]",4
131246060,"[1,8,7,11,2,13,4,6,12,10,5,9,3]",4
131304665,"[2,8,7,10,1,11,6,4,13,12,3,9,5]",4
131858871,"[4,8,5,13,6,11,1,7,12,10,2,9,3]",4
131935644,"[2,7,4,12,6,13,1,8,10,11,5,9,3]",4
132019248,"[3,8,6,10,5,13,2,7,12,11,1,9,4]",4
132520014,"[1,7,2,13,6,10,4,8,11,12,3,9,5]",4
132583557,"[1,8,6,13,4,12,3,7,11,10,2,9,5]",4
132798828,"[5,8,7,12,4,10,6,1,11,13,3,9,2]",4
133393081,"[2,8,7,12,4,11,3,6,13,10,1,9,5]",4
133399690,"[2,8,6,11,1,10,4,7,13,12,3,9,5]",4
133964349,"[5,1,6,12,7,10,4,8,13,11,2,9,3]",4
133995931,"[3,8,7,11,2,10,1,4,13,12,6,9,5]",4
134070669,"[4,8,7,12,6,13,3,2,10,11,5,9,1]",4
134262829,"[3,8,7,12,2,13,6,5,10,11,4,9,1]",4
134337080,"[4,8,7,12,1,11,5,6,10,13,3,9,2]",4
134541399,"[2,6,5,11,7,10,4,8,12,13,1,9,3]",4
134782304,"[2,3,6,10,7,11,1,8,13,12,4,9,5]",4
134867642,"[5,8,2,10,6,12,3,7,11,13,4,9,1]",4
135346315,"[1,8,7,10,5,13,6,3,12,11,4,9,2]",4
135906087,"[2,8,7,11,4,10,6,5,13,12,1,9,3]",4
135962903,"[3,8,7,13,6,11,2,5,12,10,4,9,1]",4
136904878,"[3,7,5,13,6,12,4,8,10,11,1,9,2]",4
137107448,"[2,5,6,12,7,13,1,8,11,10,3,9,4]",4
137232405,"[5,8,7,11,3,13,2,4,10,12,6,9,1]",4
137239747,"[5,2,6,11,7,13,1,8,12,10,3,9,4]",4
137290149,"[1,7,5,10,6,11,2,8,12,13,3,9,4]",4
137436944,"[5,7,2,13,6,10,3,8,12,11,4,9,1]",4
137808005,"[4,8,7,10,3,12,1,6,11,13,2,9,5]",4
137864365,"[1,8,6,10,5,13,4,7,12,11,2,9,3]",4
138126733,"[2,7,6,11,4,12,3,8,10,13,5,9,1]",4
138462703,"[4,7,3,13,6,11,1,8,10,12,2,9,5]",4
138983131,"[2,8,1,13,6,11,4,7,12,10,5,9,3]",4
139108484,"[3,8,7,13,4,10,2,6,11,12,1,9,5]",4
139416468,"[2,8,6,12,4,13,5,7,11,10,1,9,3]",4
139520877,"[1,5,6,12,7,10,4,8,11,13,2,9,3]",4
139733939,"[5,8,7,13,4,12,2,6,10,11,3,9,1]",4
139763144,"[5,7,1,12,6,11,4,8,13,10,2,9,3]",4
140035669,"[2,8,7,12,3,13,4,5,10,11,6,9,1]",4
141646330,"[4,8,6,11,3,13,1,7,12,10,5,9,2]",4
141937236,"[5,6,3,10,7,11,1,8,12,13,4,9,2]",4
141989763,"[5,1,6,12,7,10,3,8,11,13,4,9,2]",4
142026142,"[2,6,5,10,7,11,3,8,13,12,1,9,4]",4
142100952,"[3,8,6,12,4,10,5,7,11,13,2,9,1]",4
143032971,"[5,8,7,10,1,11,4,6,12,13,3,9,2]",4
143199084,"[5,8,1,13,6,10,3,7,12,11,2,9,4]",4
143240009,"[3,6,4,10,7,11,1,8,13,12,5,9,2]",4
143742777,"[1,7,3,10,6,11,2,8,12,13,5,9,4]",4
143782547,"[2,8,3,12,6,11,5,7,13,10,1,9,4]",4
143951583,"[2,8,7,11,1,13,3,6,12,10,5,9,4]",4
144199993,"[1,8,4,11,6,13,3,7,12,10,5,9,2]",4
144369435,"[5,7,6,10,1,13,2,8,11,12,4,9,3]",4
144370650,"[4,8,1,10,6,11,2,7,13,12,3,9,5]",4
144591046,"[4,8,7,11,6,13,2,3,10,12,5,9,1]",4
144665043,"[3,5,6,12,7,11,1,8,13,10,4,9,2]",4
144908677,"[5,7,4,12,6,11,3,8,13,10,1,9,2]",4
145431552,"[1,8,7,13,3,12,5,2,11,10,6,9,4]",4
145590539,"[3,8,7,13,1,10,4,2,11,12,6,9,5]",4
145940166,"[3,8,7,13,2,10,5,1,11,12,6,9,4]",4
146340311,"[5,7,6,10,2,11,3,8,12,13,4,9,1]",4
146553744,"[1,7,6,10,3,11,4,8,13,12,5,9,2]",4
146583077,"[3,7,5,13,6,12,2,8,11,10,1,9,4]",4
146658207,"[3,8,7,11,4,10,5,1,13,12,6,9,2]",4
146706019,"[4,1,6,13,7,12,2,8,10,11,3,9,5]",4
146925979,"[5,7,6,11,3,13,1,8,12,10,4,9,2]",4
147303988,"[4,7,1,13,6,11,2,8,12,10,5,9,3]",4
147890186,"[3,8,6,11,4,10,2,7,12,13,1,9,5]",4
147990461,"[1,8,7,10,3,13,2,6,12,11,5,9,4]",4
