PermutationIndex,Permutation,MatterQubits
628783,"[9,10,5,11,12,3,7,1,2,4,13,6,8]",4
1050133,"[9,11,5,13,12,3,7,1,2,6,10,4,8]",4
1153956,"[9,13,1,11,10,2,7,5,3,6,12,4,8]",4
2889842,"[9,12,2,13,10,1,7,3,4,5,11,6,8]",4
3112486,"[9,12,1,13,10,3,7,4,2,5,11,6,8]",4
3422797,"[9,10,2,13,12,1,5,4,3,6,11,7,8]",4
3730245,"[9,10,1,12,13,5,7,3,2,6,11,4,8]",4
3883081,"[9,13,5,10,11,3,7,2,1,4,12,6,8]",4
4139493,"[9,12,4,10,11,2,7,5,3,6,13,1,8]",4
45610612,"[9,13,2,12,10,3,7,4,5,1,11,6,8]",4
46743101,"[9,13,2,10,11,1,7,5,3,4,12,6,8]",4
46831678,"[9,11,5,12,10,4,6,2,1,3,13,7,8]",4
46967571,"[9,11,5,12,13,3,7,2,1,6,10,4,8]",4
47484129,"[9,12,2,13,11,1,4,5,3,6,10,7,8]",4
48231399,"[9,13,1,10,12,3,4,2,5,6,11,7,8]",4
48246608,"[9,10,2,11,12,5,6,4,1,3,13,7,8]",4
48982044,"[9,10,5,11,13,2,7,4,3,6,12,1,8]",4
49085923,"[9,12,5,10,13,2,7,3,4,6,11,1,8]",4
49266423,"[9,11,3,10,13,2,6,4,1,5,12,7,8]",4
495351902,"[9,13,4,11,12,3,6,2,5,1,10,7,8]",4
495528091,"[9,13,1,10,11,2,6,3,5,4,12,7,8]",4
495917260,"[9,12,3,13,11,4,7,5,1,2,10,6,8]",4
496010882,"[9,11,2,12,13,5,1,3,4,6,10,7,8]",4
496888508,"[9,12,5,11,10,4,7,3,2,1,13,6,8]",4
499680707,"[9,11,1,10,13,5,7,4,3,6,12,2,8]",4
499782008,"[9,11,3,10,13,2,7,4,1,5,12,6,8]",4
499792176,"[9,11,3,10,12,1,6,2,4,5,13,7,8]",4
499935546,"[9,12,4,13,10,1,7,5,2,6,11,3,8]",4
500846048,"[9,11,1,12,13,2,6,3,5,4,10,7,8]",4
501493530,"[9,10,1,13,12,4,7,5,2,6,11,3,8]",4
502263295,"[9,12,4,10,11,3,7,1,2,5,13,6,8]",4
502954938,"[9,12,2,10,13,4,7,3,1,5,11,6,8]",4
503431021,"[9,10,2,12,13,1,6,3,4,5,11,7,8]",4
504441465,"[9,11,4,10,13,1,2,5,3,6,12,7,8]",4
50874742,"[9,12,1,10,13,2,6,4,3,5,11,7,8]",4
50890804,"[9,13,5,12,11,2,7,4,3,6,10,1,8]",4
50963524,"[9,10,2,12,13,3,5,1,4,6,11,7,8]",4
51007989,"[9,10,1,11,12,3,4,5,2,6,13,7,8]",4
51357782,"[9,11,2,13,10,3,7,5,1,4,12,6,8]",4
51538264,"[9,13,5,11,10,1,6,3,4,2,12,7,8]",4
52965596,"[9,13,5,11,12,4,3,1,2,6,10,7,8]",4
53493646,"[9,13,1,10,12,4,2,3,5,6,11,7,8]",4
53560557,"[9,10,2,11,13,3,7,1,4,6,12,5,8]",4
53889154,"[9,11,1,13,12,4,7,2,5,6,10,3,8]",4
