PermutationIndex,Permutation,MatterQubits
947,"[2,4,15,14,5,10,3,16,9,7,12,8,13,11,6,1]",6
3876,"[6,8,14,5,13,2,10,12,15,11,4,16,1,9,3,7]",6
13054,"[9,11,7,4,10,3,12,6,8,14,2,16,5,1,13,15]",6
16029,"[14,8,11,3,4,7,16,1,13,6,12,9,10,2,15,5]",6
26525,"[13,12,1,5,16,3,15,8,2,11,4,10,6,7,14,9]",6
32017,"[13,9,8,6,16,4,10,7,5,14,3,12,1,2,11,15]",6
49383,"[5,10,2,11,14,13,3,9,1,15,4,6,7,16,8,12]",6
78438,"[5,4,13,8,11,10,9,12,6,7,2,1,15,3,16,14]",6
89344,"[13,12,1,5,14,7,15,4,3,16,6,9,8,2,11,10]",6
92166,"[14,9,4,2,15,5,10,6,7,11,8,16,1,3,12,13]",6
94448,"[4,8,12,7,15,6,9,14,13,11,1,16,3,10,2,5]",6
100639,"[15,12,7,1,14,3,11,8,5,16,2,9,6,4,13,10]",6
102960,"[15,6,4,11,8,7,16,12,10,13,3,5,14,1,2,9]",6
106977,"[2,5,16,3,11,8,9,13,15,12,4,14,7,10,6,1]",6
114535,"[15,10,1,11,6,5,7,8,9,12,16,14,2,13,3,4]",6
138329,"[1,11,14,8,16,9,5,3,6,4,13,10,2,12,15,7]",6
139816,"[3,15,7,16,13,11,4,12,8,14,5,6,1,10,2,9]",6
147997,"[10,12,6,14,8,7,5,2,13,15,11,16,3,9,4,1]",6
154332,"[7,3,10,5,14,11,12,16,4,8,1,2,15,6,13,9]",6
170833,"[10,3,9,8,4,5,14,2,13,1,16,12,11,6,15,7]",6
173928,"[2,13,16,4,12,14,1,5,3,8,11,15,6,10,9,7]",6
188390,"[13,4,14,3,1,5,16,8,10,2,11,15,12,7,9,6]",6
189599,"[16,14,2,3,12,8,11,4,5,10,7,15,6,1,9,13]",6
199505,"[15,4,6,10,5,2,9,12,16,13,8,1,11,7,3,14]",6
204032,"[1,4,12,8,15,9,10,13,6,5,7,2,16,3,11,14]",6
205886,"[3,8,16,12,2,9,1,13,10,4,15,7,14,11,5,6]",6
218272,"[11,13,5,8,12,1,15,6,7,14,4,9,3,2,16,10]",6
223585,"[2,5,11,15,4,16,3,14,12,6,13,1,10,9,7,8]",6
232819,"[14,7,11,6,8,4,16,2,10,5,15,13,12,1,9,3]",6
238352,"[4,1,15,6,14,7,12,10,13,11,3,9,5,16,8,2]",6
256382,"[4,7,11,12,1,14,6,15,16,3,13,2,9,10,8,5]",6
263149,"[5,4,12,1,9,2,15,13,10,11,7,14,6,16,8,3]",6
278770,"[4,11,6,12,16,13,8,15,2,14,5,3,7,9,1,10]",6
279563,"[7,2,14,5,10,11,12,15,4,6,3,8,9,1,16,13]",6
282016,"[16,5,6,11,2,1,14,13,10,12,3,8,15,4,7,9]",6
291069,"[5,14,6,13,12,10,8,16,3,9,4,7,2,15,1,11]",6
292042,"[6,15,12,2,14,9,3,8,5,4,13,10,7,11,16,1]",6
295026,"[4,9,10,5,11,14,2,7,1,3,16,13,8,12,15,6]",6
295339,"[1,3,15,2,14,12,16,9,8,5,4,7,11,6,10,13]",6
317384,"[13,12,6,1,15,4,14,8,5,9,7,16,2,3,10,11]",6
332942,"[8,7,9,4,15,3,16,11,13,10,5,12,6,14,1,2]",6
351227,"[6,9,10,4,11,12,7,3,2,8,15,16,1,13,14,5]",6
358619,"[3,4,9,8,13,11,12,16,5,7,2,6,14,1,15,10]",6
359120,"[8,11,16,1,13,9,4,2,7,5,15,10,6,12,14,3]",6
374171,"[2,3,9,5,16,8,15,14,12,10,7,13,4,11,6,1]",6
402098,"[7,4,14,8,15,6,11,9,12,13,5,10,1,16,3,2]",6
407139,"[8,11,5,16,13,10,4,14,7,9,6,3,1,15,2,12]",6
441270,"[7,3,15,13,5,12,2,10,14,1,9,8,16,11,4,6]",6
444545,"[14,4,11,6,8,7,12,2,15,3,16,10,9,5,13,1]",6
491782,"[14,16,3,12,8,4,7,6,13,10,9,11,5,15,2,1]",6
514649,"[2,13,16,7,11,15,1,6,3,8,12,14,4,10,9,5]",6
515610,"[13,15,1,9,6,8,5,4,14,16,12,10,2,11,7,3]",6
530164,"[11,15,6,9,7,4,2,1,14,16,13,10,5,12,3,8]",6
532127,"[6,2,9,1,15,14,13,16,5,7,3,4,12,8,11,10]",6
533758,"[11,2,6,9,8,1,10,12,16,14,3,5,13,4,7,15]",6
537086,"[13,4,8,16,3,2,14,11,12,9,6,1,10,5,7,15]",6
540110,"[11,7,2,13,5,4,15,14,10,16,8,3,12,6,1,9]",6
544778,"[2,5,9,10,4,12,6,13,15,3,14,8,16,11,1,7]",6
564366,"[7,5,11,14,2,9,1,12,10,4,13,8,16,15,3,6]",6
577337,"[9,4,2,12,3,1,13,10,15,11,6,8,14,7,5,16]",6
579103,"[7,16,12,6,14,15,5,1,8,4,13,11,2,10,9,3]",6
588080,"[5,3,9,10,2,16,4,14,12,6,13,7,15,11,1,8]",6
594171,"[8,16,2,13,12,14,7,11,1,15,5,6,3,9,4,10]",6
607815,"[5,6,16,4,9,14,12,15,2,1,8,7,10,3,11,13]",6
612505,"[4,6,12,3,11,1,15,9,16,13,8,10,5,14,2,7]",6
617406,"[15,10,7,11,3,1,5,2,9,12,14,16,8,13,4,6]",6
621856,"[15,12,7,9,3,1,5,4,13,16,11,10,2,14,8,6]",6
629112,"[7,6,14,2,16,5,9,11,12,15,8,13,1,10,4,3]",6
630580,"[10,14,5,13,8,9,6,7,4,3,16,1,12,2,11,15]",6
634386,"[14,7,13,5,2,1,15,3,10,4,11,12,16,6,9,8]",6
639215,"[8,2,15,6,13,4,10,12,11,14,3,16,7,9,5,1]",6
645630,"[8,13,12,4,14,9,1,6,3,5,15,10,7,11,16,2]",6
651016,"[2,5,9,1,13,8,12,11,15,10,4,16,6,14,7,3]",6
657287,"[1,12,11,5,10,15,4,7,3,8,9,14,6,16,13,2]",6
658906,"[15,11,5,3,13,7,16,1,6,9,4,12,8,2,10,14]",6
668490,"[14,11,4,8,16,1,15,3,2,10,7,12,5,6,9,13]",6
698702,"[10,7,9,1,2,3,14,6,15,4,16,11,13,8,12,5]",6
715923,"[11,10,6,3,14,4,9,1,2,15,5,12,8,7,13,16]",6
728333,"[7,14,4,13,16,9,3,12,2,10,5,1,8,15,6,11]",6
730657,"[2,8,13,3,16,9,10,14,1,6,4,5,15,7,11,12]",6
732880,"[7,1,10,9,6,11,5,15,16,8,12,2,14,13,4,3]",6
733676,"[11,12,5,10,7,4,8,2,13,14,15,9,6,16,1,3]",6
759154,"[13,15,5,6,11,2,16,7,8,9,3,14,4,1,10,12]",6
766353,"[2,5,12,16,4,11,7,10,13,1,9,3,14,15,8,6]",6
796009,"[3,13,5,10,9,12,6,14,4,16,1,7,8,11,2,15]",6
806504,"[13,11,8,6,16,3,12,2,1,14,4,10,5,7,15,9]",6
806855,"[1,5,13,3,9,11,15,16,7,8,2,4,10,6,12,14]",6
833468,"[3,15,13,6,10,14,1,2,4,7,9,11,8,12,16,5]",6
842099,"[12,14,7,10,5,8,2,6,16,15,13,9,1,11,3,4]",6
848966,"[3,9,8,13,14,15,5,10,4,16,7,1,6,12,2,11]",6
857652,"[14,2,15,3,7,5,9,8,12,1,10,16,11,4,13,6]",6
858566,"[4,14,15,7,11,16,5,3,1,6,12,13,2,10,9,8]",6
864523,"[7,3,15,6,10,16,14,13,5,8,1,2,9,4,12,11]",6
864527,"[8,10,9,7,12,16,2,5,4,1,11,13,3,14,15,6]",6
878015,"[10,13,8,16,4,6,2,7,15,11,14,12,3,9,1,5]",6
880297,"[2,9,10,3,15,16,6,1,5,7,12,14,8,13,11,4]",6
885530,"[4,1,12,2,13,6,10,16,14,15,3,11,8,9,7,5]",6
894152,"[16,10,4,13,7,14,2,5,6,3,11,1,9,8,12,15]",6
900049,"[7,10,9,2,13,16,6,3,1,4,14,11,5,12,15,8]",6
903444,"[16,5,15,2,8,3,9,6,11,1,10,14,13,4,12,7]",6
903609,"[13,8,14,4,3,6,10,2,16,5,9,11,15,7,12,1]",6
910182,"[7,2,16,1,15,6,14,9,11,12,8,10,4,13,3,5]",6
913188,"[2,11,5,14,12,10,7,13,8,9,6,4,1,15,3,16]",6
923784,"[2,13,7,14,12,10,4,16,6,9,8,5,3,11,1,15]",6
929181,"[2,15,8,9,10,11,1,14,4,13,3,6,5,16,7,12]",6
935715,"[12,2,15,4,3,6,14,5,13,7,16,10,9,8,11,1]",6
944754,"[2,4,16,5,9,8,11,13,10,15,7,12,1,14,6,3]",6
948600,"[3,13,1,9,10,14,5,15,8,16,6,4,7,12,2,11]",6
963962,"[9,13,2,12,1,6,3,8,11,15,16,14,7,10,4,5]",6
967923,"[14,3,16,8,7,6,9,1,15,2,10,13,12,4,11,5]",6
975889,"[8,3,13,12,1,14,6,11,15,7,16,5,9,10,2,4]",6
977490,"[9,5,1,15,4,2,13,10,16,14,8,6,12,7,3,11]",6
980194,"[14,12,7,3,11,5,13,2,8,9,6,15,1,4,10,16]",6
980428,"[11,12,6,9,4,8,3,2,13,14,16,10,7,15,1,5]",6
986238,"[9,13,8,3,10,6,16,2,1,11,4,12,5,7,14,15]",6
1000967,"[4,12,8,16,11,9,6,13,3,10,1,7,5,15,2,14]",6
1017613,"[5,11,7,15,14,12,3,13,1,16,2,6,4,9,8,10]",6
1020724,"[7,1,14,12,6,16,8,11,15,5,13,2,10,9,3,4]",6
1021548,"[2,14,6,11,16,15,1,13,5,12,3,4,7,9,8,10]",6
1037210,"[8,2,15,13,4,11,6,16,14,3,12,5,9,10,7,1]",6
1050986,"[16,9,5,13,8,3,1,7,10,12,15,11,6,14,2,4]",6
1058503,"[3,10,8,12,13,14,5,9,1,11,2,6,7,16,4,15]",6
1083009,"[8,5,11,7,14,15,16,9,4,1,3,2,13,6,10,12]",6
1083957,"[1,8,15,13,2,12,4,14,11,3,16,6,10,9,5,7]",6
1087700,"[2,11,3,16,12,13,8,15,5,14,1,7,6,10,4,9]",6
1091828,"[7,11,14,2,13,15,5,8,3,1,12,16,6,9,10,4]",6
1094871,"[12,14,3,5,11,2,13,1,7,15,8,9,6,4,16,10]",6
1096489,"[3,14,11,7,15,12,4,8,6,2,13,16,5,9,10,1]",6
1106194,"[15,7,6,13,5,2,14,12,10,11,4,3,16,1,8,9]",6
1110833,"[5,16,15,4,14,12,1,3,2,7,13,11,8,10,9,6]",6
1120262,"[14,7,15,1,2,4,12,6,16,8,11,10,9,5,13,3]",6
1121628,"[10,2,9,1,5,3,12,8,16,6,14,13,15,4,11,7]",6
1136489,"[5,13,15,6,12,10,4,7,2,3,11,9,8,14,16,1]",6
1139531,"[4,1,13,12,2,15,6,11,14,7,16,5,9,10,3,8]",6
1140756,"[7,9,10,1,13,14,3,4,6,2,15,12,8,16,11,5]",6
1142998,"[16,12,1,6,13,7,11,8,5,14,2,9,3,4,15,10]",6
1144525,"[3,1,11,4,12,15,16,9,8,2,5,6,14,7,10,13]",6
1157606,"[2,3,9,1,13,4,15,14,16,10,6,12,5,11,8,7]",6
1159863,"[12,10,5,14,1,13,3,2,8,6,15,7,9,4,11,16]",6
1162139,"[2,8,16,7,11,5,12,9,14,15,4,10,1,13,6,3]",6
1167494,"[13,9,4,11,6,1,7,3,10,14,15,12,2,16,5,8]",6
1193279,"[9,6,10,3,4,5,11,7,13,8,15,16,12,2,14,1]",6
1232404,"[13,14,6,9,1,11,7,5,8,4,16,2,12,3,10,15]",6
1249992,"[3,8,14,4,12,5,10,11,13,16,6,15,7,9,2,1]",6
1255705,"[2,1,16,11,4,12,5,15,14,7,13,3,9,10,6,8]",6
1263289,"[12,3,15,6,1,5,10,2,13,4,9,16,11,7,14,8]",6
1284724,"[12,15,3,13,4,14,8,7,6,1,10,2,16,5,11,9]",6
1284828,"[5,6,9,3,16,11,14,15,8,7,4,2,13,1,12,10]",6
1307662,"[7,15,1,9,10,14,6,13,8,11,2,3,5,16,4,12]",6
1326142,"[4,2,13,11,8,16,5,10,14,3,9,7,12,15,6,1]",6
1334056,"[6,11,2,13,16,12,3,14,5,15,8,7,4,10,1,9]",6
1349965,"[1,7,15,2,13,6,9,14,12,16,5,11,3,10,8,4]",6
1350197,"[7,2,11,3,15,9,10,12,8,1,4,5,14,6,13,16]",6
1358935,"[9,5,6,13,8,1,15,10,16,14,2,7,11,3,4,12]",6
1363688,"[5,7,13,2,10,16,11,15,1,8,4,6,9,3,12,14]",6
1367526,"[15,7,8,13,5,1,16,11,9,14,2,3,12,4,6,10]",6
1368027,"[13,4,2,9,8,7,10,16,14,15,5,3,12,1,6,11]",6
1375880,"[2,4,12,8,15,1,14,10,16,13,6,9,3,11,5,7]",6
1379869,"[1,2,13,4,12,3,10,15,14,11,5,16,7,9,6,8]",6
1380364,"[3,5,14,2,13,8,11,9,12,16,4,10,1,15,6,7]",6
1382315,"[6,7,16,15,4,12,3,14,13,5,11,8,9,10,2,1]",6
1402435,"[16,10,7,14,8,11,4,5,6,3,12,2,9,1,13,15]",6
1403704,"[12,16,7,9,8,13,3,1,2,6,11,4,14,5,10,15]",6
1416549,"[3,12,2,9,10,11,7,14,4,13,6,8,1,15,5,16]",6
1419132,"[6,1,14,2,15,4,11,10,13,16,7,9,5,12,8,3]",6
1457279,"[1,5,15,4,14,2,12,10,16,13,7,9,8,11,6,3]",6
1460216,"[7,12,16,1,11,10,8,4,5,2,14,9,3,15,13,6]",6
1470642,"[12,14,8,16,3,13,5,4,7,1,10,6,11,2,15,9]",6
1481023,"[10,15,3,14,8,5,6,4,13,11,16,12,7,9,1,2]",6
1483172,"[14,11,2,9,7,4,5,6,15,13,16,10,1,12,8,3]",6
1488591,"[15,1,14,8,7,6,16,2,10,3,13,12,11,4,9,5]",6
1499140,"[2,5,13,8,9,3,16,11,10,12,7,15,1,14,6,4]",6
1499482,"[5,7,12,2,11,10,9,15,6,8,1,4,16,3,14,13]",6
1501453,"[5,2,16,15,3,14,7,9,13,8,10,6,12,11,4,1]",6
1508868,"[11,4,15,2,6,3,14,5,9,1,13,16,12,8,10,7]",6
1511322,"[9,14,5,11,8,7,2,3,15,16,13,12,1,10,6,4]",6
1512872,"[7,2,12,1,13,5,15,9,14,16,3,10,8,11,6,4]",6
1517200,"[13,15,3,6,12,5,16,1,4,9,8,11,7,2,10,14]",6
1520770,"[15,16,3,10,2,1,8,7,14,11,13,9,4,12,5,6]",6
1523811,"[4,3,9,10,2,12,5,14,15,8,11,6,13,16,1,7]",6
1534243,"[16,10,4,14,7,12,6,3,5,8,15,1,9,2,11,13]",6
1543010,"[12,11,8,2,16,6,15,3,4,10,5,13,1,7,9,14]",6
1554064,"[12,6,7,9,5,2,10,13,14,16,4,3,15,1,8,11]",6
1554669,"[9,12,2,3,10,5,16,4,1,11,7,15,8,6,13,14]",6
1556477,"[14,12,4,13,1,16,3,7,8,5,10,6,11,2,15,9]",6
1557070,"[12,10,1,15,4,16,3,5,8,6,14,2,9,7,11,13]",6
1589083,"[13,11,5,16,3,7,2,1,12,9,10,14,4,15,8,6]",6
1592438,"[12,3,8,13,2,6,11,15,9,14,1,4,16,5,7,10]",6
1601891,"[1,2,14,12,8,9,4,15,10,5,13,7,11,16,6,3]",6
1603625,"[9,12,6,15,4,5,2,7,14,11,16,13,1,10,8,3]",6
1607923,"[6,2,15,4,9,7,14,12,10,13,8,16,3,11,1,5]",6
1617162,"[13,10,6,15,5,1,4,2,9,12,16,11,3,14,8,7]",6
1624378,"[14,1,15,6,7,4,16,5,9,8,11,13,12,2,10,3]",6
1635588,"[9,15,7,16,6,10,4,3,8,2,14,5,11,1,13,12]",6
1656245,"[5,8,15,7,14,13,12,10,1,6,2,3,11,4,9,16]",6
1659663,"[9,4,10,2,3,6,13,1,14,8,12,16,11,5,15,7]",6
1662286,"[14,13,4,16,1,3,2,5,11,10,9,15,7,12,8,6]",6
1687562,"[12,11,5,9,7,8,2,4,14,13,15,10,3,16,6,1]",6
1692748,"[1,11,12,6,10,13,2,5,7,3,9,14,8,16,15,4]",6
1703028,"[12,11,1,5,14,6,15,8,3,16,2,9,7,4,13,10]",6
1707810,"[16,13,3,14,2,5,1,6,11,9,10,15,8,12,7,4]",6
1719178,"[8,13,11,2,10,16,4,3,6,5,9,14,7,15,12,1]",6
1725828,"[6,7,10,9,1,11,5,16,13,4,12,2,15,14,3,8]",6
1730058,"[4,6,14,1,13,12,16,9,5,2,7,3,11,8,10,15]",6
1741979,"[5,4,10,6,14,3,16,12,11,9,7,13,8,15,2,1]",6
1744097,"[9,16,1,13,8,10,4,6,2,3,12,5,11,7,15,14]",6
1747415,"[11,3,12,4,5,1,13,6,15,2,16,9,10,7,14,8]",6
1751214,"[10,15,1,11,6,9,4,2,7,3,13,5,12,8,14,16]",6
1751998,"[16,5,13,8,2,1,9,4,15,6,10,14,11,3,12,7]",6
1754041,"[2,14,4,13,15,9,7,16,3,10,1,5,6,12,8,11]",6
1763634,"[3,2,10,7,13,1,12,14,11,9,8,15,6,16,4,5]",6
1766906,"[12,9,4,16,8,15,3,7,6,5,14,1,10,2,11,13]",6
1787507,"[13,3,8,16,1,2,15,14,12,10,6,7,9,4,5,11]",6
1787933,"[15,16,3,10,8,13,5,4,6,1,11,2,14,7,9,12]",6
1788999,"[15,2,12,1,3,7,10,6,16,5,9,14,11,4,13,8]",6
1792343,"[12,11,8,9,6,16,5,3,7,1,14,2,15,4,10,13]",6
1808527,"[6,5,12,11,4,14,7,16,13,1,15,8,10,9,2,3]",6
1811755,"[10,11,7,12,4,1,3,5,13,15,16,14,2,9,8,6]",6
1816365,"[3,1,14,6,10,2,15,16,9,13,7,11,8,12,4,5]",6
1829775,"[9,6,7,13,4,1,15,10,12,16,3,5,14,2,8,11]",6
1830135,"[5,15,13,8,10,16,2,1,4,3,9,11,7,12,14,6]",6
1840574,"[15,12,2,9,1,14,6,8,5,7,13,3,16,4,10,11]",6
1843292,"[11,2,12,8,5,1,13,6,14,7,16,9,10,4,15,3]",6
1854023,"[16,15,2,12,7,14,8,1,4,5,9,6,13,3,11,10]",6
1860098,"[10,15,6,11,2,1,8,7,12,14,13,16,5,9,4,3]",6
1886241,"[12,10,7,16,3,5,4,1,9,14,11,15,2,13,8,6]",6
1888837,"[12,13,6,10,7,16,1,3,4,5,15,8,11,2,9,14]",6
1898691,"[12,13,8,14,3,15,7,5,6,4,10,1,16,2,11,9]",6
1934442,"[6,7,10,9,8,15,4,13,11,5,12,2,16,14,3,1]",6
1939484,"[5,4,11,2,10,7,14,16,9,15,8,13,6,12,1,3]",6
1942115,"[13,16,3,15,2,7,5,8,11,9,10,14,6,12,4,1]",6
1942661,"[3,5,12,16,8,13,2,9,11,4,10,6,15,14,1,7]",6
1950090,"[4,1,15,2,16,5,13,9,14,11,3,10,6,12,8,7]",6
1951726,"[5,9,3,11,14,13,4,10,7,12,8,1,6,15,2,16]",6
1975210,"[11,5,16,4,1,8,9,6,15,3,10,14,12,2,13,7]",6
2007704,"[2,5,11,12,1,15,7,16,13,8,14,3,10,9,4,6]",6
2028560,"[3,2,16,7,10,15,12,13,5,1,8,6,9,4,14,11]",6
2041279,"[8,6,12,7,13,1,14,9,15,11,2,10,4,16,3,5]",6
2046672,"[12,4,11,7,8,5,15,2,16,3,14,9,10,1,13,6]",6
