PermutationIndex,Permutation,MatterQubits
49604985,"[2,11,17,18,23,7,14,9,8,15,5,21,6,24,13,20,10,12,3,1,19,22,16,4]",9
499049554,"[9,6,22,8,16,12,24,13,10,14,4,5,11,21,15,23,19,18,1,17,7,3,20,2]",9
502195728,"[5,6,23,14,19,16,24,13,21,15,12,17,1,11,9,20,3,18,2,22,8,4,7,10]",9
551300090,"[21,5,24,1,6,15,3,7,11,17,20,16,19,23,12,18,13,2,14,9,10,4,22,8]",9
551848965,"[1,7,17,14,16,24,20,13,19,21,5,23,11,2,6,15,10,18,3,22,9,8,12,4]",9
567927843,"[12,21,13,7,22,4,9,5,15,18,23,19,20,6,17,8,1,14,10,3,2,24,11,16]",9
574484112,"[10,8,1,7,2,23,14,16,18,22,13,21,17,12,15,3,4,5,24,6,19,9,20,11]",9
579831679,"[4,9,15,5,22,8,19,6,3,13,10,7,1,18,14,24,16,23,2,17,20,11,21,12]",9
580120773,"[21,1,20,11,9,13,7,6,2,23,15,24,17,19,3,16,12,14,22,8,4,10,18,5]",9
59997313,"[14,3,11,2,20,15,17,24,16,6,18,10,9,21,1,8,5,19,7,23,12,22,13,4]",9
617357348,"[17,18,21,12,20,14,13,16,1,7,4,24,5,22,8,19,2,10,11,9,6,3,23,15]",9
624178665,"[8,14,11,1,13,7,2,10,17,24,21,18,16,4,23,12,22,19,5,9,3,20,6,15]",9
641322317,"[6,12,24,21,20,11,9,8,18,19,16,5,14,3,1,22,4,23,10,17,13,15,7,2]",9
646595924,"[2,13,6,5,7,22,14,17,23,18,11,16,19,12,15,1,8,4,24,3,21,10,20,9]",9
651711135,"[2,6,17,5,19,1,15,8,9,7,3,4,12,21,22,18,24,23,13,20,14,10,16,11]",9
651841106,"[20,14,9,16,12,8,6,23,10,17,7,15,3,2,13,5,4,11,19,21,18,22,24,1]",9
666459224,"[17,20,9,19,11,10,24,6,5,4,18,13,16,3,15,12,8,14,2,7,1,22,21,23]",9
675302784,"[18,8,24,4,3,2,19,6,23,5,16,11,1,13,10,7,9,15,14,20,22,17,12,21]",9
678387384,"[3,24,1,8,14,4,7,6,23,15,19,16,20,10,18,9,5,21,2,12,11,22,13,17]",9
679294878,"[6,14,16,5,1,2,24,11,21,8,15,12,7,13,10,4,9,18,22,23,19,20,3,17]",9
687933401,"[15,19,24,18,22,6,20,13,3,14,5,9,8,23,11,17,4,21,12,2,16,7,1,10]",9
699482243,"[13,23,24,11,5,9,19,8,15,7,14,4,6,12,1,2,10,17,20,16,21,22,3,18]",9
710734267,"[24,5,21,2,18,6,9,1,7,4,3,15,14,22,17,20,13,23,16,11,19,10,8,12]",9
715730262,"[17,20,9,22,16,1,18,10,5,8,15,12,19,2,23,11,3,13,7,4,6,21,14,24]",9
729472366,"[21,12,3,18,4,9,7,19,8,24,11,15,13,6,14,1,2,10,22,17,20,16,23,5]",9
744847930,"[19,11,16,13,15,4,10,9,12,23,21,22,3,6,7,17,20,18,1,14,5,8,24,2]",9
755539601,"[21,4,3,7,23,6,17,9,24,5,2,11,10,8,1,22,15,16,19,18,12,20,13,14]",9
760950030,"[23,16,22,2,17,24,13,21,11,4,1,15,10,20,9,19,7,6,12,5,8,3,18,14]",9
775992646,"[2,13,10,1,7,17,15,18,16,19,12,22,14,8,21,5,11,6,23,9,24,4,20,3]",9
777863107,"[8,11,6,16,10,18,5,19,2,9,1,7,3,4,15,14,23,22,17,13,24,21,12,20]",9
792804056,"[3,16,21,24,19,15,8,20,2,18,22,9,4,11,17,7,23,5,14,12,6,13,1,10]",9
795388703,"[4,2,5,3,7,20,16,22,23,19,12,18,14,13,24,1,9,6,17,8,21,11,15,10]",9
804883203,"[9,20,10,18,12,22,6,11,8,7,2,5,16,15,17,21,23,1,19,13,14,24,4,3]",9
826533702,"[21,3,17,13,8,14,10,1,5,22,15,23,18,20,11,16,7,12,24,6,4,2,19,9]",9
826785327,"[6,1,8,23,11,20,3,15,7,10,13,4,5,2,21,16,24,22,17,9,18,14,12,19]",9
828005399,"[16,13,9,14,4,7,11,18,12,21,8,23,3,1,24,10,2,6,22,15,17,19,20,5]",9
841087650,"[10,21,3,5,4,15,24,17,16,20,9,23,1,13,14,8,11,6,22,7,19,2,18,12]",9
842150510,"[15,17,18,21,2,16,4,12,14,6,11,9,19,13,22,7,20,10,3,23,5,8,1,24]",9
861620006,"[4,7,18,14,21,20,23,2,16,17,13,24,5,9,10,15,1,22,11,19,6,3,12,8]",9
864467240,"[18,15,11,16,12,23,19,7,3,8,20,5,24,6,14,1,10,13,4,2,9,22,17,21]",9
868965602,"[15,9,7,13,8,20,23,16,6,3,1,17,22,21,5,14,11,4,24,10,19,2,18,12]",9
870065623,"[6,20,10,13,14,7,8,11,23,4,19,3,22,12,1,15,9,5,2,21,16,18,24,17]",9
883633633,"[21,16,24,5,8,3,17,23,22,10,14,6,7,15,9,20,1,19,12,18,13,2,4,11]",9
897336982,"[15,19,16,23,21,7,24,8,12,14,3,1,9,17,2,22,5,20,13,4,18,11,6,10]",9
898932318,"[23,6,18,21,8,10,4,19,7,15,5,14,12,9,13,11,3,1,22,24,16,17,20,2]",9
905720870,"[21,20,13,16,23,2,15,5,6,7,19,3,22,9,17,1,8,10,4,11,12,24,14,18]",9
915739454,"[12,16,6,2,4,21,3,19,11,17,8,9,5,1,10,7,23,15,18,20,24,13,22,14]",9
936150997,"[1,7,16,15,17,19,23,5,24,13,12,14,8,4,2,18,3,21,6,20,11,10,22,9]",9
969367356,"[22,19,21,16,17,2,23,13,11,18,5,10,8,20,9,24,1,15,12,4,14,6,3,7]",9
970049441,"[24,1,23,12,7,15,4,9,6,21,20,22,19,17,10,18,5,11,14,2,8,3,16,13]",9
971812801,"[8,10,14,3,6,2,17,15,21,23,20,5,18,11,9,22,1,12,7,19,13,16,4,24]",9
978906317,"[5,3,8,19,14,20,22,24,13,23,17,12,15,7,4,11,21,2,16,1,18,6,9,10]",9
980218619,"[11,2,5,23,20,21,12,14,6,4,15,1,19,3,22,7,16,13,10,8,9,17,24,18]",9
